Frequency (Hz),Z' (Ohm),Z'' (Ohm)
7928.241,1.1872884859410884,-4.811097823640746
6307.871,1.3313688693640198,-5.975305450304495
5034.722,1.534032377260483,-7.377604736621164
3993.056,1.8096694247537177,-9.151176055381159
3144.055,2.1744974780250645,-11.416262759684653
2519.531,2.6301595308665346,-13.998812674564844
2000.762,3.2457942802274835,-17.27561680222923
1580.669,4.0785836634067705,-21.40223598276047
1253.634,5.187511021460448,-26.371779764381092
1000.702,6.5956554067848225,-32.24856989972501
790.0281,8.550058994548666,-39.71927247885066
628.811,11.00960089350076,-48.48871489919925
502.2321,14.20173757644428,-58.79611952442938
400.1524,18.401444700589668,-71.31559199079935
315.5048,24.10341035227595,-86.92738766848768
252.0161,30.994355811208894,-104.49901774566199
200.3205,40.04697192481552,-125.47982561676213
158.0056,51.83019500410412,-150.7916448960794
125.558,66.33415099682328,-180.2456897441283
99.734,84.03352346971218,-213.7616551597564
